ginger	shínsher
jan	shán
amateur	ámater
home	joum
road	roud
heavy	jévi
lady	leidi
bay	bei
beatles	bítelz
jacques	shák
johann	ioujan
game	geim
team	tím
up	áp
day	dei
by	bai
beach	bích
taylor	teiler
rugby	rágbi
roger	rósher
blues	blúz
jersey	sherzi
blue	blú
joan	shoun
joe	shou
one	uán
hot	jót
punk	pánk
lake	leik
mark	márk
harry	jéri
jones	shounz
all	ól
saint	seint
ohio	oujaiou
billboard	bílbord
league	líg
national	náshanal
royal	roial
jean	shín
college	kálish
henry	jénri
st	strít
jazz	sház
love	láv
charles	chárlz
single	síngel
michael	maikal
paul	pól
george	shórsh
to	tú
york	iórk
john	shón
poverty	páverti
salmon	sámon
wealthy	uélti
assistant	asístant
differently	dífrentli
finish	fínish
acquisition	akuazíshan
page	peish
manage	mánash
breathe	bríd
regain	rigein
corridor	kórader
soldier	soulsher
enormous	inórmos
transfer	transfer
growth	grout
music	miúzik
judgment	sháshment
presentation	prezenteishan
science	saiens
which	uích
authorize	óteraiz
closest	klousest
discourage	diskerish
floor	flór
import	impórt
partner	pártner
master	máster
budget	báshit
reluctant	riláktant
crash	krásh
space	speis
neat	nít
kingdom	kíndom
seemingly	síminli
tactic	táktik
wise	uaiz
balloon	balún
DNA	díenei
indication	indakeishan
ahead	ajéd
peasant	pézant
butter	báter
reputation	repiateishan
spirit	spírat
evident	évadent
ultimately	áltamatli
large	lársh
promote	pramout
serving	servin
technological	teknolóshikal
write	rait
be	bí
drain	drein
French	frénch
insect	ínsekt
along	alón
personnel	personél
candy	kándi
restriction	ristríkshan
dare	dér
star	stár
existing	igzístin
unless	anlés
height	jait
least	líst
sheep	shíp
testimony	téstamouni
behavioral	bijeivieral
concentrate	kánsantreit
intense	inténs
angry	ángri
pine	pain
mixed	míkst
cast	kást
rid	ríd
stimulus	stímialas
extension	iksténshan
value	váliu
hide	jaid
offense	aféns
lie	lai
question	kuéschan
shut	shát
think	tínk
consecutive	kansékiativ
economy	ikánami
generous	shéneros
investigation	investageishan
appearance	apírans
plenty	plénti
romantic	roumántik
density	dénsati
strip	stríp
famous	feimos
violation	vaialeishan
operator	ópereiter
little	lítel
rank	ránk
sink	sínk
timber	tímber
blood	blód
isolated	aisoleited
arrival	eraival
port	pórt
childhood	chaildjud
detail	diteil
female	fímeil
housing	jauzin
ours	auerz
low	lou
boot	bút
rebel	rébel
conventional	konvénshanal
slope	sloup
emotional	imoushanal
touchdown	tóchdaun
graduation	grashueishan
accident	áksadent
outsider	autsaider
magazine	mágazin
bottom	bótom
recognition	rekogníshan
cooking	kúkin
snap	snáp
enact	inákt
toxic	tóksik
grass	grás
motive	moutiv
preach	prích
supply	saplai
weigh	uei
atmosphere	átmasfir
dinner	díner
fitness	fítnes
ad	ád
panel	pánel
manufacturing	maniafákcherin
brilliant	bríliant
regulation	regialeishan
counseling	kaunselin
something	sámtin
entity	éntati
trap	tráp
guitar	gitár
myth	mít
prevail	priveil
script	skrípt
swallow	suálou
wide	uaid
await	aueit
coalition	koualíshan
disorder	disórder
improvement	imprúvmant
affect	afékt
pat	pát
bullet	búlet
removal	rimúval
crew	krú
specialty	spéshalti
estimated	éstameited
tuck	ták
happen	jápen
neighborhood	neiberjud
known	noun
producer	prodúser
Senate	sénat
tank	tánk
wonderful	uónderfal
come	kám
domain	doumein
forward	fóruerd
influential	influénchal
per	per
mention	ménshan
cabin	kában
residence	rézidans
curtain	kertan
spray	sprei
excellent	ékselent
undermine	ándermain
noon	nún
laundry	lóndri
prosecution	prosekiúshan
severely	sevírli
temple	témpel
yell	iél
competitive	kampétativ
dried	draid
friendship	fréndship
instant	ínstant
photograph	foutograf
million	mílian
carbon	kárbon
reveal	rivíl
status	státas
experience	ikspíriens
upset	apsét
objective	abshéktiv
legislative	léshasleitiv
punch	pánch
shock	shók
theater	tíater
belt	bélt
condemn	kondém
gang	gán
another	anóder
plaintiff	pleintaf
mom	móm
ceiling	sílin
riot	raiat
stove	stouv
fabric	fábrik
him	jím
oil	oil
like	laik
signal	sígnal
threat	trét
bit	bít
consist	konsíst
effective	iféktiv
approve	aprúv
pole	poul
round	raund
depressed	diprést
stuff	stáf
faster	fáster
or	ór
location	loukeishan
rational	ráshanal
ski	skí
electronic	ilektrónik
tobacco	tobákou
globe	gloub
suck	sák
wall	uól
possible	pósabel
Christian	kríschan
fierce	fírs
waste	ueist
assemble	asémbel
circuit	serkat
diary	daieri
accurately	ákieratli
owe	ou
maintenance	meintanans
reduction	redákshan
cord	kórd
society	sasaiati
enforcement	enfórsmant
tragedy	tráshadi
grief	gríf
Ms	míz
pregnancy	prégnansi
scary	skéri
surface	serfas
whatever	uatéver
attraction	atrákshan
climb	klaim
disabled	diseibeld
flee	flí
immediate	imídiet
part	párt
market	márket
brush	brásh
relative	rélativ
court	kórt
soul	soul
equality	ikuálati
trend	trénd
keep	kíp
principle	prínsapel
secretary	sékrateri
sword	sórd
win	uín
bad	bád
distribute	distríbiut
increasing	inkrísin
agenda	ashénda
pay	pei
measure	mésher
bury	béri
reply	riplai
crowd	kraud
spell	spél
event	ivént
twist	tuíst
program	prougram
separation	sepereishan
teacher	tícher
world	uerld
basically	beisikli
commissioner	komíshaner
dot	dót
framework	freimuerk
initiative	iníshativ
period	píriad
meter	míter
camera	kámera
respectively	rispéktivli
dam	dám
stack	sták
excuse	ikskiús
uniform	iúnaform
hearing	jírin
notebook	noutbuk
lead	léd
provide	pravaid
shame	sheim
terrain	terein
your	iór
bee	bí
component	kompounent
drug	drág
fuel	fiúal
insurance	inshúrans
analyst	ánalast
miracle	mírakel
carrier	kárier
stem	stém
exploration	eksplereishan
occasionally	akeishanali
lesson	léson
push	púsh
shot	shót
therapy	térapi
better	béter
confrontation	konfronteishan
gathering	gáderin
into	intú
anywhere	éniuer
certainly	sertanli
rocket	róket
street	strít
faint	feint
historical	jistórikal
onion	ónian
link	línk
railroad	reilroud
similarity	simalérati
ticket	tíket
blanket	blánket
construction	konstrákshan
argument	árgiament
pool	púl
cheese	chíz
ruin	rúan
designer	dizainer
substantial	sabstánchal
ability	abílati
organize	órganaiz
loose	lús
bold	bould
contractor	kóntrakter
slave	sleiv
tongue	tán
good	gúd
suit	sút
moreover	morouver
powder	pauder
salt	sólt
weapon	uépon
associate	asousiet
difficult	dífakalt
fire	faier
across	akrós
breathing	brídin
regard	regárd
corruption	kerápshan
sole	soul
enough	inóf
transform	transfórm
guarantee	gerantí
scientific	saiantífik
survival	servaival
while	uail
automatic	otomátik
closet	klózet
discourse	dískors
importance	impórtans
partnership	pártnership
match	mách
rely	rilai
crawl	król
trouble	tróbel
necessarily	nesasérali
segment	ségment
tag	tág
wish	uísh
ballot	bálot
do	dú
format	fórmat
indicator	índakeiter
aid	eid
peel	píl
medicine	médasan
request	rikuést
spiritual	spírichaual
evil	íval
unable	aneibel
largely	lárshli
promotion	promoushan
session	séshan
writer	raiter
companion	kompánian
frequency	fríkuansi
insert	insert
alongside	alónsaid
perspective	perspéktiv
midst	mídst
result	rizált
dark	dárk
stare	stér
exit	égzit
unlike	anlaik
numerous	números
leather	léder
public	páblik
sheer	shír
testing	téstin
concentration	konsentreishan
during	dúrin
intensity	inténsati
pink	pínk
mixture	míkscher
casualty	káshaualti
ride	raid
deem	dím
stir	ster
extensive	iksténsiv
offensive	afénsiv
questionnaire	kueschanér
shuttle	shátel
thinking	tínkin
consensus	konsénsas
ecosystem	íkousistam
genetic	shenétik
plot	plót
changing	cheinshin
deny	dinai
stroke	strouk
fan	fán
violence	vaielens
live	laiv
rape	reip
either	íder
girl	gerl
isolation	aisoleishan
chill	chíl
Russian	ráshan
detailed	diteild
feminist	fémanist
how	jau
abstract	abstrákt
ourselves	auersélvz
lower	louer
booth	bút
rebuild	ribíld
conversation	konverseishan
slot	slót
emotionally	imoushnali
tough	tóf
accommodate	akámadeit
outstanding	autstándin
bounce	bauns
recognize	rékagnaiz
cool	kúl
sneak	sník
encounter	inkaunter
toy	toi
grateful	greitfal
sauce	sós
support	sapórt
weight	ueit
atop	atóp
clean	klín
dip	díp
adapt	adápt
bring	brín
regulator	régialeiter
counselor	kaunseler
sometime	sámtaim
entrance	éntrans
trash	trásh
nail	neil
jurisdiction	shurasdíkshan
prevent	privént
sculpture	skálpcher
swear	suér
widely	uaidli
awake	aueik
coast	koust
display	displei
folk	fouk
impulse	ímpals
afford	afórd
patch	pách
crime	kraim
ethical	étikal
tune	tún
happily	jápali
neighboring	neiberin
product	pródakt
senator	sénater
tap	táp
wood	uúd
bare	bér
comedy	kámadi
domestic	doméstik
foster	fóster
inform	infórm
aisle	ail
perceive	persív
mentor	méntor
cabinet	kábanet
resident	rézident
spread	spréd
except	iksépt
understand	anderstánd
hazard	jázerd
nor	nór
prosecutor	prósikiuter
sex	séks
temporary	témpereri
yellow	iélou
competitor	kompétater
drift	dríft
from	fróm
instantly	ínstantli
photographer	fotógrafer
card	kárd
revelation	reveleishan
statute	stáchut
experienced	ikspírienst
upstairs	apstérz
obligation	oblageishan
legislator	léshasleiter
punish	pánish
shoe	shú
their	dér
bench	bénch
condition	kondíshan
ear	ír
gap	gáp
internal	internal
answer	ánser
moment	moument
celebrate	sélabreit
rip	ríp
vegetable	véshtabal
himself	jimsélf
ok	okei
likelihood	laiklijud
signature	sígnacher
threaten	tréten
bite	bait
investigator	invéstageiter
consistent	konsístent
effectively	iféktivli
approximately	apróksamatli
route	rút
depression	dipréshan
stumble	stámbel
fat	fát
hook	júk
lock	lók
bloody	bládi
raw	rá
contend	konténd
skill	skíl
electronics	ilektróniks
glory	glóri
sudden	sáden
wander	uánder
as	áz
possibly	pásabli
Christianity	krischiániti
developmental	divelopméntal
fifteen	fiftín
watch	uách
assembly	asémbli
circumstance	serkamstans
dictate	dikteit
filter	fílter
accusation	akiazeishan
own	oun
major	meisher
brake	breik
refer	refer
sock	sók
engage	engeish
tragic	tráshik
grin	grín
pregnant	prégnant
scatter	skáter
surgeon	sershen
wheat	uít
attractive	atráktiv
cling	klín
disagree	disagrí
fleet	flít
immediately	imídiatli
administrative	admínastreitiv
partial	párshal
marketing	márketin
relatively	rélativli
courtroom	kórtrum
sound	saund
equally	íkuali
trial	traial
print	prínt
section	sékshan
symbol	símbal
wind	uaind
badly	bádli
collaboration	kolabereishan
distribution	distrabiúshan
forehead	fórjed
increasingly	inkrísinli
agent	eishent
payment	peiment
measurement	méshermant
report	ripórt
crowded	krauded
spend	spénd
eventually	ivénchauali
two	tú
harm	járm
new	nú
programming	prougramin
sequence	síkuans
teaching	tíchin
worldwide	uerlduaid
basis	beisas
commit	komít
double	dóbel
injure	ínsher
allegation	alegeishan
permanent	permanent
method	métod
camp	kámp
respond	rispónd
damage	dámash
stadium	steidiam
execute	éksakiut
unique	iuník
nothing	nótin
leader	líder
provided	provaided
shape	sheip
yours	iúrz
beef	bíf
drum	drám
intact	intákt
analyze	ánalaiz
carrot	károt
rhetoric	réterik
decade	dekeid
step	stép
utility	iutílati
occupation	okiapeishan
let	lét
put	pút
should	shúd
there	dér
between	bituín
confuse	kanfiúz
gay	gei
apart	apárt
chain	chein
rod	ród
demand	dimánd
strength	strénkt
historically	jistórikali
online	ónlain
lion	laian
similarly	símalerli
tide	taid
gesture	shéscher
blast	blást
Irish	airish
consult	konsált
arise	eraiz
poor	púr
desire	dizaier
substantially	sabstánshali
feather	féder
able	eibel
organized	órganaizd
lose	lúz
bolt	boult
contrast	kóntrast
slavery	sleiveri
else	éls
suitable	sútabel
grain	grein
morning	mórnin
Jew	shú
power	pauer
same	seim
sunlight	sánlait
wear	uér
difficulty	dífakalti
firm	ferm
ice	ais
act	ákt
painful	peinfal
breeze	bríz
regarding	regárdin
cost	kóst
solely	souali
enroll	enroul
transformation	transfermeishan
guard	gárd
musician	miuzíshan
presidency	prézadansi
scientist	saiantist
survive	servaiv
whip	uíp
automatically	otomátikli
cloth	klót
discover	diskóver
flour	flauer
important	impórtant
advantage	advántish
party	párti
remain	rimein
Spanish	spánish
especially	espéshli
troubled	tróbeld
handful	jándful
necessary	nésaseri
kiss	kís
probably	prábabli
seize	síz
tail	teil
with	uíd
ban	bán
colony	kálani
dock	dók
formation	formeishan
indigenous	indíshenos
aide	eid
peer	pír
medium	mídiam
button	báton
require	rikuaier
spit	spít
uncertain	ansertan
nine	nain
last	lást
prompt	prómpt
writing	raitin
company	kámpani
dramatic	dramátik
frequent	fríkuant
already	olrédi
might	mait
canvas	kánvas
darkness	dárknes
start	stárt
exotic	igzótik
unlikely	anlaikli
nurse	ners
leave	lív
publication	pablikeishan
sheet	shít
text	tékst
concept	kónsept
dust	dást
funny	fáni
intent	intént
pioneer	paianír
mobile	moubal
cat	kát
rider	raider
deep	díp
stock	stók
extent	ikstént
van	ván
high	jai
offer	ófer
life	laif
quick	kuík
shy	shai
third	terd
billion	bílian
consent	konsént
genius	shínias
application	aplakeishan
plunge	plánsh
depart	dipárt
fantastic	fantástik
violent	vaialant
opponent	opounent
liver	líver
rapid	rápad
sister	síster
elaborate	ilábrat
time	taim
girlfriend	gerlfrend
issue	íshu
arrow	árou
portion	pórshan
chin	chín
detect	ditékt
fence	féns
however	jauéver
abuse	abiús
out	aut
loyal	loial
border	bórder
recall	ríkol
conversion	konvershan
slow	slou
emphasis	émfasas
tour	túr
accompany	akámpani
oven	óven
magic	máshik
boundary	baunderi
recommend	rekoménd
cooperate	kouápereit
snow	snou
encourage	enkerish
trace	treis
mount	maunt
supporter	sapórter
weird	uírd
attach	atách
diplomat	díplomat
ill	íl
add	ád
pant	pánt
map	máp
British	brítish
regulatory	régialatori
count	kaunt
sometimes	samtaimz
entrepreneur	antreprener
travel	trável
juror	shúrer
prevention	privénshan
sea	sí
sweat	suét
widespread	uaidspréd
award	auórd
coastal	koustal
dispute	dispiút
follow	fólou
in	in
afraid	afreid
patent	pátent
bunch	bánch
specific	spesífik
ethics	étiks
tunnel	tánel
happiness	jápines
neither	níder
Korean	korían
send	sénd
tape	teip
wooden	uúden
barely	bérli
dominant	dómanant
found	faund
perceived	persívd
residential	rezidénchal
custody	kástadi
spring	sprín
exception	iksépshan
understanding	anderstándin
he	jí
norm	nórm
prospect	próspekt
ten	tén
yes	iés
complain	komplein
drill	dríl
front	frónt
instead	instéd
ambassador	ambásader
photography	fatágrafi
care	kér
deadline	dédlain
experiment	ikspérament
urban	erban
observation	obzerveishan
legislature	léshasleicher
punishment	pánishment
shoot	shút
them	dém
bend	bénd
conduct	kondákt
international	internáshanal
anticipate	antísapeit
plane	plein
celebration	selebreishan
definitely	défanatli
straighten	streiten
facilitate	fasílateit
vehicle	víjikel
likely	laikli
significance	sagnífikans
three	trí
bitter	bíter
investment	invéstment
consistently	kansístantli
effectiveness	iféktivnas
policeman	palísman
charm	chárm
routine	rutín
depth	dépt
stupid	stúpad
vitamin	vaitaman
log	lóg
blow	blou
content	kóntent
skilled	skíld
elegant	élegant
toe	tou
glove	gláv
suddenly	sádanli
want	uánt
post	poust
device	divais
fifth	fíft
water	uóter
assert	asert
accuse	akiúz
owner	ouner
majority	mashórati
reference	réferans
corn	kórn
sodium	soudiam
engagement	engeishmant
grip	gríp
mud	mád
preliminary	prilímaneri
scenario	sinériou
surgery	sersheri
wheel	uíl
attribute	átrabiut
clinic	klínik
disappear	disapír
flesh	flésh
immigrant	ímagrant
administrator	admínastreiter
partially	párshali
marketplace	márkatpleis
relax	riláks
cousin	kózan
soup	súp
equation	ikueishan
tribal	traibal
nationwide	neishanuaid
prior	praier
symbolic	simbálik
window	uíndou
bag	bág
district	dístrikt
incredible	inkrédabel
aggression	agréshan
meat	mít
bush	búsh
reportedly	ripórtadli
crucial	krúshal
spending	spéndin
ever	éver
newly	núli
lamp	lámp
progress	prógres
worried	uerid
basket	básket
commitment	komítment
doubt	daut
franchise	fránchaiz
injury	ínsheri
